행정구역,2017년12월_남자인구수,2017년12월_여자인구수,2017년12월_계,2018년01월_남자인구수,2018년01월_여자인구수,2018년01월_계,2018년02월_남자인구수,2018년02월_여자인구수,2018년02월_계,2018년03월_남자인구수,2018년03월_여자인구수,2018년03월_계,2018년04월_남자인구수,2018년04월_여자인구수,2018년04월_계,2018년05월_남자인구수,2018년05월_여자인구수,2018년05월_계,,,,,,
서울특별시 도봉구 방학제1동(1132069000),4,7,11,4,3,7,4,3,7,4,5,9,5,8,13,3,3,6,,,,,,
서울특별시 도봉구 방학제2동(1132070000),9,4,13,5,2,7,2,2,4,4,3,7,5,3,8,8,4,12,,,,,,
서울특별시 도봉구 방학제3동(1132071000),12,2,14,7,6,13,7,6,13,6,3,9,10,10,20,9,11,20,,,,,,
서울특별시 노원구 (1135000000),151,108,259,156,145,301,111,136,247,145,118,263,123,121,244,134,122,256,,,,,,
서울특별시 노원구 월계1동(1135056000),8,8,16,8,8,16,6,5,11,3,9,12,4,6,10,0,3,3,,,,,,
서울특별시 노원구 월계2동(1135057000),8,4,12,9,6,15,12,12,24,9,6,15,2,6,8,5,5,10,,,,,,
서울특별시 노원구 월계3동(1135058000),13,8,21,16,10,26,10,12,22,9,9,18,12,10,22,15,13,28,,,,,,
서울특별시 노원구 공릉1동(1135059500),11,7,18,16,11,27,7,8,15,11,10,21,9,7,16,12,9,21,,,,,,
서울특별시 노원구 공릉2동(1135060000),12,13,25,7,13,20,5,10,15,14,13,27,15,11,26,10,13,23,,,,,,
서울특별시 노원구 하계1동(1135061100),5,3,8,5,8,13,1,5,6,4,4,8,2,1,3,7,4,11,,,,,,
서울특별시 노원구 하계2동(1135061200),7,2,9,3,7,10,3,5,8,3,1,4,6,2,8,3,9,12,,,,,,
서울특별시 노원구 중계본동(1135061900),4,3,7,2,1,3,0,3,3,3,1,4,4,1,5,3,0,3,,,,,,
서울특별시 노원구 중계1동(1135062100),3,2,5,2,0,2,4,0,4,1,3,4,2,1,3,1,0,1,,,,,,
서울특별시 노원구 중계4동(1135062400),7,2,9,4,8,12,4,6,10,4,2,6,4,6,10,4,3,7,,,,,,
서울특별시 노원구 중계2.3동(1135062500),13,11,24,13,8,21,7,4,11,12,7,19,13,13,26,9,6,15,,,,,,
서울특별시 노원구 상계1동(1135063000),6,4,10,14,7,21,8,14,22,7,9,16,5,10,15,8,6,14,,,,,,
서울특별시 노원구 상계2동(1135064000),6,1,7,3,2,5,4,3,7,6,3,9,3,2,5,5,2,7,,,,,,
서울특별시 노원구 상계3.4동(1135066500),2,2,4,2,1,3,7,4,11,2,1,3,3,3,6,5,2,7,,,,,,
서울특별시 노원구 상계5동(1135067000),5,4,9,4,5,9,3,7,10,5,3,8,1,2,3,3,3,6,,,,,,
서울특별시 노원구 상계6.7동(1135069500),10,6,16,16,19,35,7,11,18,13,15,28,10,11,21,12,17,29,,,,,,
서울특별시 노원구 상계8동(1135070000),19,19,38,24,20,44,14,18,32,21,12,33,18,10,28,19,18,37,,,,,,
서울특별시 노원구 상계9동(1135071000),5,3,8,4,7,11,5,4,9,14,6,20,5,10,15,9,3,12,,,,,,
서울특별시 노원구 상계10동(1135072000),7,6,13,4,4,8,4,5,9,4,4,8,5,9,14,4,6,10,,,,,,
서울특별시 은평구 (1138000000),96,121,217,121,127,248,120,102,222,118,119,237,120,111,231,126,123,249,,,,,,
서울특별시 은평구 녹번동(1138051000),6,10,16,6,7,13,11,5,16,8,8,16,16,5,21,5,13,18,,,,,,
서울특별시 은평구 불광제1동(1138052000),13,10,23,10,10,20,6,11,17,10,14,24,6,14,20,11,8,19,,,,,,
서울특별시 은평구 불광제2동(1138053000),7,5,12,7,7,14,10,8,18,8,5,13,13,7,20,7,10,17,,,,,,
서울특별시 은평구 갈현제1동(1138055100),6,7,13,2,3,5,10,4,14,6,5,11,7,4,11,4,5,9,,,,,,
서울특별시 은평구 갈현제2동(1138055200),5,7,12,8,11,19,11,6,17,13,7,20,7,5,12,11,11,22,,,,,,
서울특별시 은평구 구산동(1138056000),9,8,17,11,12,23,6,6,12,8,11,19,8,5,13,8,7,15,,,,,,
서울특별시 은평구 대조동(1138057000),7,11,18,6,8,14,5,6,11,7,13,20,7,15,22,8,9,17,,,,,,
서울특별시 은평구 응암제1동(1138058000),7,5,12,7,3,10,7,2,9,7,7,14,6,4,10,10,5,15,,,,,,
서울특별시 은평구 응암제2동(1138059000),0,6,6,8,8,16,3,11,14,7,4,11,7,7,14,10,7,17,,,,,,
서울특별시 은평구 응암제3동(1138060000),6,4,10,3,4,7,4,2,6,6,4,10,8,1,9,4,3,7,,,,,,
